CNES - Equipes de Saúde - Brasil
Quantidade por Município
Tipo da Equipe: 01 ESF - EQUIPE DE SAUDE DA FAMILIA, 24 ESF1      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO I, 27 ESF2      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO II, 30 ESF3      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO III, 33 ESF4      - ESTRATEGIA DE SAUDE DA FAMILIA TIPO IV, 70 ESF - EQUIPE DE SAUDE DA FAMILIA
Período:Jun/2010
"Município";"Quantidade"
"171550 OLIVEIRA DE FATIMA";-
"171570 PALMEIRANTE";-
"171575 PALMEIROPOLIS";2
"171610 PARAISO DO TOCANTINS";6
"171620 PARANA";1
"171630 PAU D'ARCO";1
"171650 PEDRO AFONSO";2
"171660 PEIXE";1
"171665 PEQUIZEIRO";1
"171670 COLMEIA";3
"171700 PINDORAMA DO TOCANTINS";1
"171720 PIRAQUE";-
"171750 PIUM";-
"171780 PONTE ALTA DO BOM JESUS";-
"171790 PONTE ALTA DO TOCANTINS";-
"171800 PORTO ALEGRE DO TOCANTINS";-
"171820 PORTO NACIONAL";1
"171830 PRAIA NORTE";1
"171840 PRESIDENTE KENNEDY";1
"171845 PUGMIL";-
"171850 RECURSOLANDIA";-
"171855 RIACHINHO";-
"171865 RIO DA CONCEICAO";-
"171870 RIO DOS BOIS";-
"171875 RIO SONO";1
"171880 SAMPAIO";-
"171884 SANDOLANDIA";-
"171886 SANTA FE DO ARAGUAIA";-
"171888 SANTA MARIA DO TOCANTINS";-
"171889 SANTA RITA DO TOCANTINS";-
"171890 SANTA ROSA DO TOCANTINS";-
"171900 SANTA TEREZA DO TOCANTINS";-
"172000 SANTA TEREZINHA DO TOCANTINS";-
"172010 SAO BENTO DO TOCANTINS";-
"172015 SAO FELIX DO TOCANTINS";-
"172020 SAO MIGUEL DO TOCANTINS";1
"172025 SAO SALVADOR DO TOCANTINS";-
"172030 SAO SEBASTIAO DO TOCANTINS";-
"172049 SAO VALERIO";-
"172065 SILVANOPOLIS";-
"172080 SITIO NOVO DO TOCANTINS";1
"172085 SUCUPIRA";-
"172090 TAGUATINGA";2
"172093 TAIPAS DO TOCANTINS";-
"172097 TALISMA";-
"172100 PALMAS";10
"172110 TOCANTINIA";-
"172120 TOCANTINOPOLIS";3
"172125 TUPIRAMA";-
"172130 TUPIRATINS";-
"172208 WANDERLANDIA";-
"172210 XAMBIOA";-
" MUNICIPIO IGNORADO - MA";-
"210005 ACAILANDIA";10
"210010 AFONSO CUNHA";-
"210015 AGUA DOCE DO MARANHAO";2
"210020 ALCANTARA";4
"210030 ALDEIAS ALTAS";5
"210040 ALTAMIRA DO MARANHAO";1
"210043 ALTO ALEGRE DO MARANHAO";4
"210047 ALTO ALEGRE DO PINDARE";9
"210050 ALTO PARNAIBA";3
"210055 AMAPA DO MARANHAO";-
"210060 AMARANTE DO MARANHAO";6
"210070 ANAJATUBA";1
"210080 ANAPURUS";1
"210083 APICUM-ACU";1
"210087 ARAGUANA";2
"210090 ARAIOSES";11
"210095 ARAME";1
"210100 ARARI";3
"210110 AXIXA";-
"210120 BACABAL";17
"210125 BACABEIRA";-
"210130 BACURI";-
"210135 BACURITUBA";-
"210140 BALSAS";7
"210150 BARAO DE GRAJAU";-
"210160 BARRA DO CORDA";3
"210170 BARREIRINHAS";10
"210173 BELAGUA";-
"210177 BELA VISTA DO MARANHAO";-
"210180 BENEDITO LEITE";-
"210190 BEQUIMAO";6
"210193 BERNARDO DO MEARIM";-
"210197 BOA VISTA DO GURUPI";-
"210200 BOM JARDIM";7
"210203 BOM JESUS DAS SELVAS";3
"210207 BOM LUGAR";-
"210210 BREJO";9
"210215 BREJO DE AREIA";-
"210220 BURITI";7
"210230 BURITI BRAVO";3
"210232 BURITICUPU";5
"210235 BURITIRANA";3
"210237 CACHOEIRA GRANDE";2
"210240 CAJAPIO";1
"210250 CAJARI";-
"210255 CAMPESTRE DO MARANHAO";-
"210260 CANDIDO MENDES";1
"210270 CANTANHEDE";4
"210275 CAPINZAL DO NORTE";-
"210280 CAROLINA";4
"210290 CARUTAPERA";3
"210300 CAXIAS";1
"210310 CEDRAL";-
"210312 CENTRAL DO MARANHAO";-
"210315 CENTRO DO GUILHERME";-
"210317 CENTRO NOVO DO MARANHAO";5
"210320 CHAPADINHA";7
"210325 CIDELANDIA";1
"210330 CODO";18
"210340 COELHO NETO";-
"210350 COLINAS";8
"210355 CONCEICAO DO LAGO-ACU";2
"210360 COROATA";3
"210370 CURURUPU";11
"210375 DAVINOPOLIS";2
"210380 DOM PEDRO";-
"210390 DUQUE BACELAR";1
"210400 ESPERANTINOPOLIS";7
"210405 ESTREITO";4
"210407 FEIRA NOVA DO MARANHAO";2
"210408 FERNANDO FALCAO";-
"210409 FORMOSA DA SERRA NEGRA";2
"210410 FORTALEZA DOS NOGUEIRAS";-
"210420 FORTUNA";5
"210430 GODOFREDO VIANA";-
"210440 GONCALVES DIAS";5
"210450 GOVERNADOR ARCHER";-
"210455 GOVERNADOR EDISON LOBAO";2
"210460 GOVERNADOR EUGENIO BARROS";1
"210462 GOVERNADOR LUIZ ROCHA";1
"210465 GOVERNADOR NEWTON BELLO";-
"210467 GOVERNADOR NUNES FREIRE";3
"210470 GRACA ARANHA";1
"210480 GRAJAU";5
"210490 GUIMARAES";-
"210500 HUMBERTO DE CAMPOS";2
"210510 ICATU";-
"210515 IGARAPE DO MEIO";1
"210520 IGARAPE GRANDE";1
"210530 IMPERATRIZ";22
"210535 ITAIPAVA DO GRAJAU";1
"210540 ITAPECURU MIRIM";4
"210542 ITINGA DO MARANHAO";3
"210545 JATOBA";-
"210547 JENIPAPO DOS VIEIRAS";5
"210550 JOAO LISBOA";-
"210560 JOSELANDIA";4
"210565 JUNCO DO MARANHAO";-
"210570 LAGO DA PEDRA";-
"210580 LAGO DO JUNCO";1
"210590 LAGO VERDE";3
"210592 LAGOA DO MATO";2
"210594 LAGO DOS RODRIGUES";-
"210596 LAGOA GRANDE DO MARANHAO";2
"210598 LAJEADO NOVO";1
"210600 LIMA CAMPOS";-
"210610 LORETO";1
"210620 LUIS DOMINGUES";-
"210630 MAGALHAES DE ALMEIDA";2
"210632 MARACACUME";1
"210635 MARAJA DO SENA";-
"210637 MARANHAOZINHO";-
"210640 MATA ROMA";-
"210650 MATINHA";3
"210660 MATOES";-
"210663 MATOES DO NORTE";-
"210667 MILAGRES DO MARANHAO";-
"210670 MIRADOR";2
"210675 MIRANDA DO NORTE";1
"210680 MIRINZAL";-
"210690 MONCAO";-
"210700 MONTES ALTOS";1
"210710 MORROS";2
"210720 NINA RODRIGUES";2
"210725 NOVA COLINAS";-
"210730 NOVA IORQUE";-
"210735 NOVA OLINDA DO MARANHAO";-
"210740 OLHO D'AGUA DAS CUNHAS";-
"210745 OLINDA NOVA DO MARANHAO";1
"210750 PACO DO LUMIAR";9
"210760 PALMEIRANDIA";2
"210770 PARAIBANO";4
"210780 PARNARAMA";2
"210790 PASSAGEM FRANCA";1
"210800 PASTOS BONS";-
"210805 PAULINO NEVES";-
"210810 PAULO RAMOS";1
"210820 PEDREIRAS";4
"210825 PEDRO DO ROSARIO";-
"210830 PENALVA";5
"210840 PERI MIRIM";-
"210845 PERITORO";1
"210850 PINDARE-MIRIM";1
"210860 PINHEIRO";5
"210870 PIO XII";5
"210880 PIRAPEMAS";-
"210890 POCAO DE PEDRAS";5
"210900 PORTO FRANCO";-
"210905 PORTO RICO DO MARANHAO";-
"210910 PRESIDENTE DUTRA";3
"210920 PRESIDENTE JUSCELINO";-
"210923 PRESIDENTE MEDICI";1
"210927 PRESIDENTE SARNEY";1
"210930 PRESIDENTE VARGAS";3
"210940 PRIMEIRA CRUZ";4
"210945 RAPOSA";1
"210950 RIACHAO";4
"210955 RIBAMAR FIQUENE";-
"210960 ROSARIO";6
"210970 SAMBAIBA";-
"210975 SANTA FILOMENA DO MARANHAO";-
"210980 SANTA HELENA";3
"210990 SANTA INES";5
"211000 SANTA LUZIA";11
"211003 SANTA LUZIA DO PARUA";1
"211010 SANTA QUITERIA DO MARANHAO";4
"211020 SANTA RITA";-
"211023 SANTANA DO MARANHAO";-
"211027 SANTO AMARO DO MARANHAO";-
"211030 SANTO ANTONIO DOS LOPES";-
"211040 SAO BENEDITO DO RIO PRETO";4
"211050 SAO BENTO";9
"211060 SAO BERNARDO";5
"211065 SAO DOMINGOS DO AZEITAO";-
"211070 SAO DOMINGOS DO MARANHAO";5
"211080 SAO FELIX DE BALSAS";1
"211085 SAO FRANCISCO DO BREJAO";1
"211090 SAO FRANCISCO DO MARANHAO";-
"211100 SAO JOAO BATISTA";4
"211102 SAO JOAO DO CARU";2
"211105 SAO JOAO DO PARAISO";2
"211107 SAO JOAO DO SOTER";-
"211110 SAO JOAO DOS PATOS";3
"211120 SAO JOSE DE RIBAMAR";5
"211125 SAO JOSE DOS BASILIOS";-
"211130 SAO LUIS";39
"211140 SAO LUIS GONZAGA DO MARANHAO";-
"211150 SAO MATEUS DO MARANHAO";-
"211153 SAO PEDRO DA AGUA BRANCA";3
"211157 SAO PEDRO DOS CRENTES";-
"211160 SAO RAIMUNDO DAS MANGABEIRAS";1
"211163 SAO RAIMUNDO DO DOCA BEZERRA";1
"211167 SAO ROBERTO";-
"211170 SAO VICENTE FERRER";4
"211172 SATUBINHA";2
"211174 SENADOR ALEXANDRE COSTA";1
"211176 SENADOR LA ROCQUE";3
"211178 SERRANO DO MARANHAO";-
"211180 SITIO NOVO";3
"211190 SUCUPIRA DO NORTE";1
"211195 SUCUPIRA DO RIACHAO";-
"211200 TASSO FRAGOSO";-
"211210 TIMBIRAS";6
"211220 TIMON";-
"211223 TRIZIDELA DO VALE";3
"211227 TUFILANDIA";-
"211230 TUNTUM";-
"211240 TURIACU";6
"211245 TURILANDIA";-
"211250 TUTOIA";8
"211260 URBANO SANTOS";4
"211270 VARGEM GRANDE";-
"211280 VIANA";10
"211285 VILA NOVA DOS MARTIRIOS";1
"211290 VITORIA DO MEARIM";3
"211300 VITORINO FREIRE";7
"211400 ZE DOCA";11
" MUNICIPIO IGNORADO - PI";-
"220005 ACAUA";-
"220010 AGRICOLANDIA";-
"220020 AGUA BRANCA";-
"220025 ALAGOINHA DO PIAUI";-
"220027 ALEGRETE DO PIAUI";-
"220030 ALTO LONGA";1
"220040 ALTOS";-
"220045 ALVORADA DO GURGUEIA";-
"220050 AMARANTE";-
"220060 ANGICAL DO PIAUI";-
"220070 ANISIO DE ABREU";1
"220080 ANTONIO ALMEIDA";-
"220090 AROAZES";-
"220095 AROEIRAS DO ITAIM";-
"220100 ARRAIAL";-
"220105 ASSUNCAO DO PIAUI";-
"220110 AVELINO LOPES";2
"220115 BAIXA GRANDE DO RIBEIRO";-
"220117 BARRA D'ALCANTARA";-
"220120 BARRAS";9
"220130 BARREIRAS DO PIAUI";-
"220140 BARRO DURO";-
"220150 BATALHA";5
"220155 BELA VISTA DO PIAUI";-
"220157 BELEM DO PIAUI";-
"220160 BENEDITINOS";-
"220170 BERTOLINIA";-
"220173 BETANIA DO PIAUI";1
"220177 BOA HORA";1
"220180 BOCAINA";-
"220190 BOM JESUS";1
"220191 BOM PRINCIPIO DO PIAUI";-
"220192 BONFIM DO PIAUI";-
"220194 BOQUEIRAO DO PIAUI";-
"220196 BRASILEIRA";-
"220198 BREJO DO PIAUI";-
"220200 BURITI DOS LOPES";-
"220202 BURITI DOS MONTES";1
"220205 CABECEIRAS DO PIAUI";-
"220207 CAJAZEIRAS DO PIAUI";-
"220208 CAJUEIRO DA PRAIA";-
"220209 CALDEIRAO GRANDE DO PIAUI";-
"220210 CAMPINAS DO PIAUI";-
"220211 CAMPO ALEGRE DO FIDALGO";1
"220213 CAMPO GRANDE DO PIAUI";-
"220217 CAMPO LARGO DO PIAUI";-
"220220 CAMPO MAIOR";-
"220225 CANAVIEIRA";-
"220230 CANTO DO BURITI";-
"220240 CAPITAO DE CAMPOS";-
"220245 CAPITAO GERVASIO OLIVEIRA";1
"220250 CARACOL";1
"220253 CARAUBAS DO PIAUI";-
"220255 CARIDADE DO PIAUI";-
"220260 CASTELO DO PIAUI";3
"220265 CAXINGO";-
"220270 COCAL";4
"220271 COCAL DE TELHA";-
"220272 COCAL DOS ALVES";-
"220273 COIVARAS";-
"220275 COLONIA DO GURGUEIA";-
"220277 COLONIA DO PIAUI";-
"220280 CONCEICAO DO CANINDE";1
"220285 CORONEL JOSE DIAS";-
"220290 CORRENTE";5
"220300 CRISTALANDIA DO PIAUI";-
"220310 CRISTINO CASTRO";-
"220320 CURIMATA";1
"220323 CURRAIS";-
"220325 CURRALINHOS";-
"220327 CURRAL NOVO DO PIAUI";-
"220330 DEMERVAL LOBAO";1
"220335 DIRCEU ARCOVERDE";-
"220340 DOM EXPEDITO LOPES";-
"220342 DOMINGOS MOURAO";-
"220345 DOM INOCENCIO";2
"220350 ELESBAO VELOSO";1
"220360 ELISEU MARTINS";-
"220370 ESPERANTINA";5
"220375 FARTURA DO PIAUI";-
"220380 FLORES DO PIAUI";-
"220385 FLORESTA DO PIAUI";-
"220390 FLORIANO";-
"220400 FRANCINOPOLIS";-
"220410 FRANCISCO AYRES";-
"220415 FRANCISCO MACEDO";-
"220420 FRANCISCO SANTOS";-
"220430 FRONTEIRAS";2
"220435 GEMINIANO";-
"220440 GILBUES";2
"220450 GUADALUPE";1
"220455 GUARIBAS";-
"220460 HUGO NAPOLEAO";-
"220465 ILHA GRANDE";-
"220470 INHUMA";-
"220480 IPIRANGA DO PIAUI";-
"220490 ISAIAS COELHO";-
"220500 ITAINOPOLIS";-
"220510 ITAUEIRA";-
"220515 JACOBINA DO PIAUI";-
"220520 JAICOS";1
"220525 JARDIM DO MULATO";-
"220527 JATOBA DO PIAUI";-
"220530 JERUMENHA";-
"220535 JOAO COSTA";-
"220540 JOAQUIM PIRES";-
"220545 JOCA MARQUES";-
"220550 JOSE DE FREITAS";4
"220551 JUAZEIRO DO PIAUI";-
